benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,524288,3,1,4,0,3,0,16777216,256,2396745.142857,0.75,0.0,0.75,CPU,2.390507,1.47,0.68,2.390507,0.596495,0.249527,3.521015,1.515082,0.430297,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,64,3,1,4,0,3,0,2048,64,292.571429,0.75,0.0,0.75,CPU,0.015155,1.16,0.86,0.015155,0.00829,0.547014,0.01754,0.003485,0.198689,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,65536,3,1,4,0,3,0,2097152,256,299593.142857,0.75,0.0,0.75,CPU,0.203949,1.74,0.58,0.203949,0.038726,0.189881,0.354014,0.146093,0.412676,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,8192,3,1,4,0,3,0,262144,256,37449.142857,0.75,0.0,0.75,GPU,0.025393,4.13,0.24,0.104942,0.018705,0.178241,0.025393,0.00048,0.018903,8,228
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,1024,1,1,4,0,4,0,24576,256,4915.2,1,0.0,0.25,GPU,0.016118,2.25,0.44,0.036275,0.011187,0.308394,0.016118,0.004603,0.285581,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,1048576,1,1,4,0,4,0,25165824,256,5033164.8,1,0.0,0.25,CPU,3.769441,1.41,0.71,3.769441,0.076779,0.020369,5.298993,2.165116,0.40859,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,128,1,1,4,0,4,0,3072,128,614.4,1,0.0,0.25,CPU,0.006118,2.14,0.47,0.006118,0.004516,0.73815,0.013097,0.00048,0.03665,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,131072,1,1,4,0,4,0,3145728,256,629145.6,1,0.0,0.25,CPU,0.29449,3.31,0.30,0.29449,0.02005,0.068084,0.975037,0.896408,0.919358,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,16384,1,1,4,0,4,0,393216,256,78643.2,1,0.0,0.25,GPU,0.030488,2.91,0.34,0.088781,0.010818,0.12185,0.030488,0.005511,0.18076,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,2048,1,1,4,0,4,0,49152,256,9830.4,1,0.0,0.25,GPU,0.013956,4.43,0.23,0.061865,0.014897,0.240799,0.013956,0.000354,0.025365,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,2097152,1,1,4,0,4,0,50331648,256,10066329.6,1,0.0,0.25,CPU,7.864299,1.09,0.92,7.864299,1.518581,0.193098,8.550155,3.748068,0.438363,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,256,1,1,4,0,4,0,6144,256,1228.8,1,0.0,0.25,CPU,0.006621,1.98,0.51,0.006621,0.002978,0.449781,0.013096,0.000359,0.027413,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,262144,1,1,4,0,4,0,6291456,256,1258291.2,1,0.0,0.25,CPU,0.63671,2.26,0.44,0.63671,0.251876,0.39559,1.440511,0.504051,0.349911,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,4096,1,1,4,0,4,0,98304,256,19660.8,1,0.0,0.25,GPU,0.015763,3.98,0.25,0.062773,0.014259,0.227152,0.015763,0.00021,0.013322,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,4194304,1,1,4,0,4,0,100663296,256,20132659.2,1,0.0,0.25,GPU,4.823437,3.38,0.30,16.280028,2.385864,0.146552,4.823437,0.096613,0.02003,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,512,1,1,4,0,4,0,12288,256,2457.6,1,0.0,0.25,GPU,0.013274,1.38,0.72,0.018368,0.018049,0.982633,0.013274,0.00028,0.021094,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,524288,1,1,4,0,4,0,12582912,256,2516582.4,1,0.0,0.25,CPU,1.573706,1.82,0.55,1.573706,0.682334,0.433584,2.86823,1.700555,0.592894,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,64,1,1,4,0,4,0,1536,64,307.2,1,0.0,0.25,CPU,0.010043,1.31,0.76,0.010043,0.003423,0.340834,0.013155,0.000329,0.02501,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,65536,1,1,4,0,4,0,1572864,256,314572.8,1,0.0,0.25,CPU,0.252278,2.35,0.43,0.252278,0.065364,0.259095,0.592837,0.275381,0.464514,9,198
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,8192,1,1,4,0,4,0,196608,256,39321.6,1,0.0,0.25,GPU,0.021688,3.33,0.30,0.072299,0.018089,0.250197,0.021688,0.005724,0.263925,9,198
016850a54105db85a861274ce636cb826e85fd18.cl-A,1024,1,1,3,0,3,0,24576,256,6144.0,1,0.0,0.333,GPU,0.014015,4.03,0.25,0.056529,0.026143,0.462471,0.014015,0.000497,0.035462,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,1048576,1,1,3,0,3,0,25165824,256,6291456.0,1,0.0,0.333,CPU,4.14531,1.27,0.79,4.14531,1.091063,0.263204,5.247511,2.009719,0.382985,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,128,1,1,3,0,3,0,3072,128,768.0,1,0.0,0.333,GPU,0.015022,1.02,0.98,0.015267,0.011865,0.777166,0.015022,0.004213,0.280455,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,131072,1,1,3,0,3,0,3145728,256,786432.0,1,0.0,0.333,CPU,0.315065,1.89,0.53,0.315065,0.103947,0.329922,0.596386,0.24653,0.413373,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,16384,1,1,3,0,3,0,393216,256,98304.0,1,0.0,0.333,GPU,0.027971,4.47,0.22,0.124917,0.024551,0.196539,0.027971,0.000458,0.016374,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,2048,1,1,3,0,3,0,49152,256,12288.0,1,0.0,0.333,GPU,0.0144,4.35,0.23,0.062661,0.017082,0.27261,0.0144,0.000477,0.033125,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,2097152,1,1,3,0,3,0,50331648,256,12582912.0,1,0.0,0.333,GPU,7.876526,1.07,0.93,8.464719,1.585134,0.187264,7.876526,3.210607,0.407617,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,256,1,1,3,0,3,0,6144,256,1536.0,1,0.0,0.333,CPU,0.01327,1.03,0.97,0.01327,0.0003,0.022607,0.013719,0.000479,0.034915,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,262144,1,1,3,0,3,0,6291456,256,1572864.0,1,0.0,0.333,CPU,0.565123,2.39,0.42,0.565123,0.289329,0.511975,1.351637,0.29639,0.219282,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,4096,1,1,3,0,3,0,98304,256,24576.0,1,0.0,0.333,GPU,0.016326,4.73,0.21,0.077202,0.016456,0.213155,0.016326,0.000628,0.038466,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,4194304,1,1,3,0,3,0,100663296,256,25165824.0,1,0.0,0.333,GPU,14.979526,1.07,0.94,15.957195,3.85652,0.241679,14.979526,1.230755,0.082162,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,512,1,1,3,0,3,0,12288,256,3072.0,1,0.0,0.333,GPU,0.013867,2.31,0.43,0.032084,0.010132,0.315796,0.013867,0.00053,0.03822,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,524288,1,1,3,0,3,0,12582912,256,3145728.0,1,0.0,0.333,CPU,1.590985,1.79,0.56,1.590985,0.54666,0.343598,2.852378,1.671861,0.586129,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,64,1,1,3,0,3,0,1536,64,384.0,1,0.0,0.333,CPU,0.013451,1.01,0.99,0.013451,0.00764,0.567988,0.013541,0.000497,0.036703,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,65536,1,1,3,0,3,0,1572864,256,393216.0,1,0.0,0.333,CPU,0.151945,3.17,0.32,0.151945,0.022241,0.146375,0.481926,0.295038,0.612206,8,172
016850a54105db85a861274ce636cb826e85fd18.cl-A,8192,1,1,3,0,3,0,196608,256,49152.0,1,0.0,0.333,GPU,0.020178,4.39,0.23,0.08853,0.008269,0.093403,0.020178,0.000558,0.027654,8,172
