benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,2097152,1,1,5,0,4,0,50331648,256,8388608.0,0.8,0.0,0.2,CPU,8.689354,2.17,0.46,8.689354,2.972481,0.342083,18.898522,0.651977,0.034499,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,256,1,1,5,0,4,0,6144,256,1024.0,0.8,0.0,0.2,CPU,0.01299,1.17,0.85,0.01299,0.002671,0.20562,0.015232,0.002869,0.188353,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,262144,1,1,5,0,4,0,6291456,256,1048576.0,0.8,0.0,0.2,CPU,1.014953,2.09,0.48,1.014953,0.2549,0.251145,2.122406,0.000937,0.000441,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,4096,1,1,5,0,4,0,98304,256,16384.0,0.8,0.0,0.2,GPU,0.021824,1.82,0.55,0.039641,0.001014,0.02558,0.021824,0.003291,0.150797,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,4194304,1,1,5,0,4,0,100663296,256,16777216.0,0.8,0.0,0.2,CPU,14.739519,2.55,0.39,14.739519,5.189657,0.352091,37.512384,0.482345,0.012858,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,512,1,1,5,0,4,0,12288,256,2048.0,0.8,0.0,0.2,GPU,0.015309,1.61,0.62,0.024584,0.016771,0.682192,0.015309,0.003081,0.201254,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,524288,1,1,5,0,4,0,12582912,256,2097152.0,0.8,0.0,0.2,CPU,2.255742,1.88,0.53,2.255742,0.500432,0.221848,4.235206,0.001434,0.000339,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,64,1,1,5,0,4,0,1536,64,256.0,0.8,0.0,0.2,CPU,0.009568,1.58,0.63,0.009568,0.002673,0.279369,0.015117,0.002949,0.195078,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,65536,1,1,5,0,4,0,1572864,256,262144.0,0.8,0.0,0.2,CPU,0.260743,2.08,0.48,0.260743,0.181739,0.697004,0.542739,0.003308,0.006095,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,8192,1,1,5,0,4,0,196608,256,32768.0,0.8,0.0,0.2,GPU,0.047136,1.47,0.68,0.0691,0.016816,0.243357,0.047136,0.003324,0.070519,8,173
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,1024,2,2,2,0,2,0,24576,256,6144.0,1,0.0,1,GPU,0.020237,2.14,0.47,0.043301,0.026657,0.615621,0.020237,0.003689,0.18229,12,220
